traffic_speed,day,week_day,time
 36.6521864444,2,monday,0.0
 35.590312,2,monday,0.15
 39.4820324444,2,monday,0.30
 42.3926733333,2,monday,0.45
 40.3840951111,2,monday,1.0
 49.5721837778,2,monday,1.15
 53.113704,2,monday,1.30
 45.1320964444,2,monday,1.45
 48.0933122222,2,monday,2.0
 52.5694666667,2,monday,2.15
 51.77202,2,monday,2.30
 47.4936433333,2,monday,2.45
 46.1712111111,2,monday,3.0
 46.9608944444,2,monday,3.15
 46.803458,2,monday,3.30
 51.2973844444,2,monday,3.45
 54.0740773333,2,monday,4.0
 53.2267437778,2,monday,4.15
 47.4052791111,2,monday,4.30
 45.7082024444,2,monday,4.45
 41.7061286667,2,monday,5.0
 44.7710917778,2,monday,5.15
 50.3164995556,2,monday,5.30
 43.9695664444,2,monday,5.45
 40.4785304444,2,monday,6.0
 39.8382762222,2,monday,6.15
 39.8353982222,2,monday,6.30
 44.2468466667,2,monday,6.45
 43.0821542222,2,monday,7.0
 32.3097531111,2,monday,7.15
 31.3897557778,2,monday,7.30
 37.8171573333,2,monday,7.45
 38.7117271111,2,monday,8.0
 35.9213051111,2,monday,8.15
 34.2735155556,2,monday,8.30
 37.635436,2,monday,8.45
 38.8963995556,2,monday,9.0
 42.5126337778,2,monday,9.15
 46.1115768046,2,monday,9.30
 41.4626660847,2,monday,9.45
 41.004197094,2,monday,10.0
 39.8849130837,2,monday,10.15
 41.7507439411,2,monday,10.30
 41.6638709189,2,monday,10.45
 38.1084825287,2,monday,11.0
 41.2267585057,2,monday,11.15
 38.8984167816,2,monday,11.30
 32.0467325747,2,monday,11.45
 37.1289022222,2,monday,12.0
 42.6810726667,2,monday,12.15
 38.6324666667,2,monday,12.30
 35.3001448889,2,monday,12.45
 34.2488604444,2,monday,13.0
 36.6102591111,2,monday,13.15
 39.7266150115,2,monday,13.30
 41.0681910345,2,monday,13.45
 43.3267507881,2,monday,14.0
 39.6139346154,2,monday,14.15
 38.4270331594,2,monday,14.30
 36.3062241026,2,monday,14.45
 27.2702554524,2,monday,15.0
 30.2198586667,2,monday,15.15
 38.485188,2,monday,15.30
 42.9170422222,2,monday,15.45
 42.980048,2,monday,16.0
 38.0679053333,2,monday,16.15
 35.1895942222,2,monday,16.30
 36.2742271111,2,monday,16.45
 37.9328831111,2,monday,17.0
 39.6408691111,2,monday,17.15
 41.7061475556,2,monday,17.30
 40.2632055556,2,monday,17.45
 36.423176,2,monday,18.0
 32.8431593333,2,monday,18.15
 32.4294735556,2,monday,18.30
 31.8503437778,2,monday,18.45
 29.6453693333,2,monday,19.0
 28.1757022222,2,monday,19.15
 36.9405604444,2,monday,19.30
 38.2473231111,2,monday,19.45
 33.2284688889,2,monday,20.0
 35.865004,2,monday,20.15
 35.5075817778,2,monday,20.30
 38.4329777778,2,monday,20.45
 40.1444486667,2,monday,21.0
 33.6305726667,2,monday,21.15
 28.8972704444,2,monday,21.30
 30.7808417778,2,monday,21.45
 32.1796244444,2,monday,22.0
 39.8561957778,2,monday,22.15
 43.9329688889,2,monday,22.30
 47.7433946667,2,monday,22.45
 55.6565562222,2,monday,23.0
 47.325876,2,monday,23.15
 36.4707671111,2,monday,23.30
 37.9021893333,2,monday,23.45
 39.5369168889,9,monday,0.0
 35.1445413333,9,monday,0.15
 30.4654531111,9,monday,0.30
 36.9949771111,9,monday,0.45
 45.3065,9,monday,1.0
 51.2003457778,9,monday,1.15
 52.3484806667,9,monday,1.30
 43.0476806667,9,monday,1.45
 40.353738,9,monday,2.0
 40.8308124444,9,monday,2.15
 39.7199333333,9,monday,2.30
 46.2157282222,9,monday,2.45
 49.5177275556,9,monday,3.0
 44.7150133333,9,monday,3.15
 44.2710606667,9,monday,3.30
 49.3364362222,9,monday,3.45
 50.1909333333,9,monday,4.0
 43.4037526667,9,monday,4.15
 44.737944,9,monday,4.30
 46.6893724444,9,monday,4.45
 47.9814864444,9,monday,5.0
 44.6718202222,9,monday,5.15
 37.4367795556,9,monday,5.30
 40.4235617778,9,monday,5.45
 39.6287544444,9,monday,6.0
 34.1325791111,9,monday,6.15
 34.8239022222,9,monday,6.30
 34.6887877778,9,monday,6.45
 31.349938,9,monday,7.0
 29.7788252667,9,monday,7.15
 20.3464874667,9,monday,7.30
 11.0814085111,9,monday,7.45
 16.4009700889,9,monday,8.0
 27.1753024444,9,monday,8.15
 29.4456082222,9,monday,8.30
 30.2870304444,9,monday,8.45
 30.5884968889,9,monday,9.0
 21.3140634222,9,monday,9.15
 14.1752327778,9,monday,9.30
 19.5001700559,9,monday,9.45
 31.6509170115,9,monday,10.0
 38.3121671724,9,monday,10.15
 39.1346991111,9,monday,10.30
 41.3285908889,9,monday,10.45
 38.6187271111,9,monday,11.0
 38.1212457778,9,monday,11.15
 41.9336044444,9,monday,11.30
 37.9861522222,9,monday,11.45
 32.9810166667,9,monday,12.0
 36.193172,9,monday,12.15
 41.5753751111,9,monday,12.30
 38.2579755556,9,monday,12.45
 34.5547877778,9,monday,13.0
 36.4106215556,9,monday,13.15
 36.9598468889,9,monday,13.30
 38.0580902222,9,monday,13.45
 36.7277602759,9,monday,14.0
 38.4072078161,9,monday,14.15
 42.6884497548,9,monday,14.30
 41.8222184444,9,monday,14.45
 40.7912393333,9,monday,15.0
 38.5228935556,9,monday,15.15
 36.9042331111,9,monday,15.30
 36.1763111111,9,monday,15.45
 34.53469,9,monday,16.0
 32.0941904444,9,monday,16.15
 30.9181902222,9,monday,16.30
 32.5030575556,9,monday,16.45
 31.4544055556,9,monday,17.0
 27.5435962222,9,monday,17.15
 28.6978677778,9,monday,17.30
 29.0260488889,9,monday,17.45
 27.1506108889,9,monday,18.0
 27.591898,9,monday,18.15
 26.583806,9,monday,18.30
 31.00762,9,monday,18.45
 35.8158097778,9,monday,19.0
 37.169486,9,monday,19.15
 39.9054462222,9,monday,19.30
 38.63881,9,monday,19.45
 39.240258,9,monday,20.0
 40.0971617778,9,monday,20.15
 38.2656086667,9,monday,20.30
 37.9209824444,9,monday,20.45
 34.7824348889,9,monday,21.0
 36.5302848889,9,monday,21.15
 37.661854,9,monday,21.30
 34.1246251111,9,monday,21.45
 33.8750871111,9,monday,22.0
 39.3076555556,9,monday,22.15
 49.1761804444,9,monday,22.30
 47.805832,9,monday,22.45
 42.3365431111,9,monday,23.0
 45.426374,9,monday,23.15
 47.2757553333,9,monday,23.30
 46.2928971111,9,monday,23.45
 40.05734,16,monday,0.0
 33.0697586667,16,monday,0.15
 30.0393842222,16,monday,0.30
 34.0649775556,16,monday,0.45
 43.5250755556,16,monday,1.0
 46.1038346667,16,monday,1.15
 37.0539351111,16,monday,1.30
 31.5113691111,16,monday,1.45
 34.9733991111,16,monday,2.0
 44.4759737778,16,monday,2.15
 50.446624,16,monday,2.30
 45.8937875556,16,monday,2.45
 39.3424544444,16,monday,3.0
 46.7123735556,16,monday,3.15
 51.4244424444,16,monday,3.30
 39.5197671111,16,monday,3.45
 33.4238788889,16,monday,4.0
 37.7098575556,16,monday,4.15
 40.0764286667,16,monday,4.30
 43.5880713333,16,monday,4.45
 38.95906,16,monday,5.0
 34.6172506667,16,monday,5.15
 43.418528,16,monday,5.30
 50.3544028889,16,monday,5.45
 48.4439422222,16,monday,6.0
 41.9298188889,16,monday,6.15
 41.3190975556,16,monday,6.30
 45.6610853333,16,monday,6.45
 43.7169462222,16,monday,7.0
 35.5082537778,16,monday,7.15
 28.8025485556,16,monday,7.30
 22.446254,16,monday,7.45
 21.487883,16,monday,8.0
 25.9844162222,16,monday,8.15
 29.6369644444,16,monday,8.30
 27.823128,16,monday,8.45
 25.6871106667,16,monday,9.0
 28.9498782222,16,monday,9.15
 34.2995991111,16,monday,9.30
 36.1115597778,16,monday,9.45
 34.089944,16,monday,10.0
 35.4724,16,monday,10.15
 36.7675933333,16,monday,10.30
 35.1655462222,16,monday,10.45
 33.3525626667,16,monday,11.0
 33.1265935556,16,monday,11.15
 32.9141091111,16,monday,11.30
 30.8063151111,16,monday,11.45
 33.0699117778,16,monday,12.0
 36.6333011111,16,monday,12.15
 36.3664748889,16,monday,12.30
 35.590182,16,monday,12.45
 37.3275437778,16,monday,13.0
 37.7318551111,16,monday,13.15
 36.5542495556,16,monday,13.30
 36.6543551111,16,monday,13.45
 36.615042,16,monday,14.0
 41.4576857778,16,monday,14.15
 42.6803362222,16,monday,14.30
 37.5039077778,16,monday,14.45
 37.6279048889,16,monday,15.0
 44.5247295556,16,monday,15.15
 45.7539217778,16,monday,15.30
 42.1666495556,16,monday,15.45
 39.6539533333,16,monday,16.0
 37.6462673333,16,monday,16.15
 36.3594135813,16,monday,16.30
 31.9091285714,16,monday,16.45
 28.6661774811,16,monday,17.0
 27.4250717778,16,monday,17.15
 27.1483046667,16,monday,17.30
 28.3457625984,16,monday,17.45
 28.326293708,16,monday,18.0
 28.7559112318,16,monday,18.15
 31.0589511492,16,monday,18.30
 29.047218,16,monday,18.45
 28.6057457778,16,monday,19.0
 33.4166888889,16,monday,19.15
 35.244756,16,monday,19.30
 34.1584848889,16,monday,19.45
 41.4370662222,16,monday,20.0
 43.1629911111,16,monday,20.15
 33.3968582222,16,monday,20.30
 28.3126415556,16,monday,20.45
 28.7152191111,16,monday,21.0
 32.7070344444,16,monday,21.15
 36.2961071111,16,monday,21.30
 36.9347593333,16,monday,21.45
 37.2459344444,16,monday,22.0
 39.5851877778,16,monday,22.15
 44.5508828889,16,monday,22.30
 47.6124002222,16,monday,22.45
 41.9409204444,16,monday,23.0
 38.9908253333,16,monday,23.15
 37.4493493333,16,monday,23.30
 35.0518888889,16,monday,23.45
 35.5549408889,23,monday,0.0
 37.1490482222,23,monday,0.15
 39.7090666667,23,monday,0.30
 43.1861968889,23,monday,0.45
 42.6541862222,23,monday,1.0
 51.8315582222,23,monday,1.15
 58.7932164444,23,monday,1.30
 52.4841035556,23,monday,1.45
 44.6928775556,23,monday,2.0
 39.3580306667,23,monday,2.15
 44.4162488889,23,monday,2.30
 47.1620002222,23,monday,2.45
 44.5028764444,23,monday,3.0
 40.1634957778,23,monday,3.15
 35.7951182222,23,monday,3.30
 40.2255071111,23,monday,3.45
 39.1658593333,23,monday,4.0
 31.7115557778,23,monday,4.15
 37.7064337778,23,monday,4.30
 41.3080457778,23,monday,4.45
 43.3634424444,23,monday,5.0
 42.6068702222,23,monday,5.15
 38.4197626667,23,monday,5.30
 43.4325353333,23,monday,5.45
 47.9787528889,23,monday,6.0
 47.407466,23,monday,6.15
 40.3949104444,23,monday,6.30
 35.253928,23,monday,6.45
 31.3533097778,23,monday,7.0
 23.9830403556,23,monday,7.15
 18.3552417111,23,monday,7.30
 20.3309562,23,monday,7.45
 25.0194395111,23,monday,8.0
 27.2666473333,23,monday,8.15
 29.2708326667,23,monday,8.30
 29.0562726667,23,monday,8.45
 29.9627082222,23,monday,9.0
 32.8653082222,23,monday,9.15
 35.3579975556,23,monday,9.30
 34.016068,23,monday,9.45
 30.7887731111,23,monday,10.0
 28.5558795556,23,monday,10.15
 30.4350844444,23,monday,10.30
 35.03312,23,monday,10.45
 35.5397342222,23,monday,11.0
 35.6373393333,23,monday,11.15
 35.1185264444,23,monday,11.30
 33.10125,23,monday,11.45
 33.8848862222,23,monday,12.0
 33.8976706667,23,monday,12.15
 33.1521257778,23,monday,12.30
 33.8256282222,23,monday,12.45
 32.1264751111,23,monday,13.0
 29.3286402222,23,monday,13.15
 33.6302486667,23,monday,13.30
 37.1675695556,23,monday,13.45
 36.6354393333,23,monday,14.0
 36.5774975556,23,monday,14.15
 37.5583408889,23,monday,14.30
 38.6526288889,23,monday,14.45
 38.7229664444,23,monday,15.0
 37.427526,23,monday,15.15
 36.0409877778,23,monday,15.30
 36.6073768889,23,monday,15.45
 34.7038186667,23,monday,16.0
 32.4164175556,23,monday,16.15
 31.9089635556,23,monday,16.30
 31.2738908889,23,monday,16.45
 29.4749482222,23,monday,17.0
 28.161934,23,monday,17.15
 28.6631984444,23,monday,17.30
 28.4577404444,23,monday,17.45
 28.0663397778,23,monday,18.0
 29.8457866667,23,monday,18.15
 31.6294408889,23,monday,18.30
 35.7478128889,23,monday,18.45
 40.4954428889,23,monday,19.0
 39.1492991111,23,monday,19.15
 37.9356813333,23,monday,19.30
 37.5942262222,23,monday,19.45
 34.0869335556,23,monday,20.0
 37.2258644444,23,monday,20.15
 40.1709628889,23,monday,20.30
 36.0757351111,23,monday,20.45
 36.1794756641,23,monday,21.0
 36.813751,23,monday,21.15
 33.1202992857,23,monday,21.30
 36.3083515556,23,monday,21.45
