traffic_speed,day,week_day,time
 41.3480687196,0,saturday,0.0
 37.2413564444,0,saturday,0.15
 33.83275,0,saturday,0.30
 40.4034444444,0,saturday,0.45
 49.8430573333,0,saturday,1.0
 53.7421175556,0,saturday,1.15
 47.9850506667,0,saturday,1.30
 44.1353671111,0,saturday,1.45
 43.2176513333,0,saturday,2.0
 43.6992624444,0,saturday,2.15
 44.3850304444,0,saturday,2.30
 37.7521095556,0,saturday,2.45
 45.4259548889,0,saturday,3.0
 52.4822535556,0,saturday,3.15
 50.4736057778,0,saturday,3.30
 46.0167477778,0,saturday,3.45
 50.2729982222,0,saturday,4.0
 52.6590691111,0,saturday,4.15
 40.3081048889,0,saturday,4.30
 31.8779862222,0,saturday,4.45
 30.9453333333,0,saturday,5.0
 42.1836331111,0,saturday,5.15
 49.2451793333,0,saturday,5.30
 45.7657717778,0,saturday,5.45
 39.9060162222,0,saturday,6.0
 36.0333726667,0,saturday,6.15
 34.7050577778,0,saturday,6.30
 31.6920111111,0,saturday,6.45
 26.6797113333,0,saturday,7.0
 24.4311135556,0,saturday,7.15
 26.0215411333,0,saturday,7.30
 22.7213548444,0,saturday,7.45
 15.0768515333,0,saturday,8.0
 18.5716056,0,saturday,8.15
 25.3057177778,0,saturday,8.30
 23.2678246667,0,saturday,8.45
 17.7914976444,0,saturday,9.0
 17.0776422222,0,saturday,9.15
 24.3130194667,0,saturday,9.30
 27.4593637778,0,saturday,9.45
 29.6670297778,0,saturday,10.0
 34.9422915556,0,saturday,10.15
 38.2864304444,0,saturday,10.30
 40.8777226667,0,saturday,10.45
 41.48635,0,saturday,11.0
 38.15806,0,saturday,11.15
 34.5803148889,0,saturday,11.30
 29.3557944444,0,saturday,11.45
 22.6424368889,0,saturday,12.0
 22.4298322222,0,saturday,12.15
 26.4119002222,0,saturday,12.30
 32.1660191111,0,saturday,12.45
 41.7218062222,0,saturday,13.0
 45.0956984444,0,saturday,13.15
 41.8175708889,0,saturday,13.30
 41.6488851111,0,saturday,13.45
 40.4501968736,0,saturday,14.0
 37.0034668966,0,saturday,14.15
 34.2353876628,0,saturday,14.30
 32.1952757778,0,saturday,14.45
 29.6199654444,0,saturday,15.0
 24.0972018222,0,saturday,15.15
 18.4399218,0,saturday,15.30
 22.6952498444,0,saturday,15.45
 28.9274622,0,saturday,16.0
 30.4543653333,0,saturday,16.15
 33.00369,0,saturday,16.30
 30.2048042222,0,saturday,16.45
 24.51665,0,saturday,17.0
 25.9024228889,0,saturday,17.15
 30.2026734444,0,saturday,17.30
 31.1282272222,0,saturday,17.45
 25.8298003556,0,saturday,18.0
 17.9361855556,0,saturday,18.15
 13.407323,0,saturday,18.30
 12.167072,0,saturday,18.45
 18.4622792,0,saturday,19.0
 28.6844018889,0,saturday,19.15
 31.9037324444,0,saturday,19.30
 31.4730404444,0,saturday,19.45
 34.3607375556,0,saturday,20.0
 34.2976173333,0,saturday,20.15
 30.6132717778,0,saturday,20.30
 29.6243026667,0,saturday,20.45
 35.3670633333,0,saturday,21.0
 39.4383144444,0,saturday,21.15
 37.7656575556,0,saturday,21.30
 44.0670251111,0,saturday,21.45
 45.5910928889,0,saturday,22.0
 44.9293415556,0,saturday,22.15
 46.1609504444,0,saturday,22.30
 44.1012606667,0,saturday,22.45
 47.048964,0,saturday,23.0
 45.2252657778,0,saturday,23.15
 45.9974242222,0,saturday,23.30
 53.0969928889,0,saturday,23.45
 37.8010844444,7,saturday,0.0
 42.8882613333,7,saturday,0.15
 38.8976162222,7,saturday,0.30
 34.721826,7,saturday,0.45
 46.5331677778,7,saturday,1.0
 55.2630395556,7,saturday,1.15
 52.548376,7,saturday,1.30
 42.447068,7,saturday,1.45
 35.4928224444,7,saturday,2.0
 34.1246228889,7,saturday,2.15
 31.2913821379,7,saturday,2.30
 34.358274023,7,saturday,2.45
 40.6443289195,7,saturday,3.0
 36.3258515556,7,saturday,3.15
 33.2303308889,7,saturday,3.30
 43.2433364444,7,saturday,3.45
 50.5487113333,7,saturday,4.0
 46.2567384444,7,saturday,4.15
 48.0220148889,7,saturday,4.30
 53.2738850958,7,saturday,4.45
 51.0286995402,7,saturday,5.0
 45.7762183755,7,saturday,5.15
