traffic_speed,day,week_day,time
 40.2625517778,5,thursday,0.0
 45.3616468889,5,thursday,0.15
 43.2346797778,5,thursday,0.30
 41.0258966667,5,thursday,0.45
 46.7296295556,5,thursday,1.0
 55.6728877778,5,thursday,1.15
 50.310404,5,thursday,1.30
 46.9902751111,5,thursday,1.45
 52.123658,5,thursday,2.0
 50.3026706667,5,thursday,2.15
 50.2217715556,5,thursday,2.30
 48.5629342222,5,thursday,2.45
 50.2030853333,5,thursday,3.0
 53.9738437778,5,thursday,3.15
 52.7015737778,5,thursday,3.30
 47.92858,5,thursday,3.45
 39.4636464444,5,thursday,4.0
 41.063766,5,thursday,4.15
 46.0347004444,5,thursday,4.30
 52.4675637778,5,thursday,4.45
 52.8667828889,5,thursday,5.0
 40.1570266667,5,thursday,5.15
 42.1151073333,5,thursday,5.30
 45.2032108889,5,thursday,5.45
 38.3962375556,5,thursday,6.0
 42.2861031111,5,thursday,6.15
 45.6509866667,5,thursday,6.30
 35.8514022222,5,thursday,6.45
 28.8387851111,5,thursday,7.0
 29.8457466667,5,thursday,7.15
 30.5992897778,5,thursday,7.30
 30.3519768889,5,thursday,7.45
 36.5168791111,5,thursday,8.0
 46.8465288889,5,thursday,8.15
 43.636194,5,thursday,8.30
 34.7322206667,5,thursday,8.45
 31.6836477778,5,thursday,9.0
 29.7426331111,5,thursday,9.15
 27.4335677778,5,thursday,9.30
 29.8735804444,5,thursday,9.45
 33.1594811111,5,thursday,10.0
 34.9533624444,5,thursday,10.15
 35.2128411111,5,thursday,10.30
 34.1431515556,5,thursday,10.45
 35.3354675556,5,thursday,11.0
 37.8009555556,5,thursday,11.15
 46.0647853333,5,thursday,11.30
 47.3922553333,5,thursday,11.45
 38.9687962222,5,thursday,12.0
 32.16876,5,thursday,12.15
 29.2889071111,5,thursday,12.30
 29.0088388889,5,thursday,12.45
 27.9814104444,5,thursday,13.0
 29.6348855556,5,thursday,13.15
 35.9374926667,5,thursday,13.30
 37.1691097778,5,thursday,13.45
 31.4575771111,5,thursday,14.0
 29.9281604444,5,thursday,14.15
 32.0744386667,5,thursday,14.30
 34.8456137778,5,thursday,14.45
 35.7520853333,5,thursday,15.0
 35.5658108889,5,thursday,15.15
 33.5382786667,5,thursday,15.30
 30.1087348889,5,thursday,15.45
 28.0707611111,5,thursday,16.0
 28.7111462222,5,thursday,16.15
 32.7674722222,5,thursday,16.30
 33.1232966667,5,thursday,16.45
 26.4809955556,5,thursday,17.0
 25.1668506667,5,thursday,17.15
 28.2567837778,5,thursday,17.30
 27.7380682222,5,thursday,17.45
 30.2916015556,5,thursday,18.0
 32.7865444444,5,thursday,18.15
 30.7342926667,5,thursday,18.30
 30.6166722222,5,thursday,18.45
 33.4805202222,5,thursday,19.0
 31.2441015556,5,thursday,19.15
 30.1570024444,5,thursday,19.30
 34.3640544444,5,thursday,19.45
 36.8509035556,5,thursday,20.0
 37.1393495556,5,thursday,20.15
 39.9252777778,5,thursday,20.30
 37.9994742222,5,thursday,20.45
 34.5972895556,5,thursday,21.0
 33.6250457778,5,thursday,21.15
 30.4100395556,5,thursday,21.30
 31.0351202222,5,thursday,21.45
 33.8376353333,5,thursday,22.0
 40.2486191111,5,thursday,22.15
 43.3721886667,5,thursday,22.30
 48.4814777778,5,thursday,22.45
 47.9323375556,5,thursday,23.0
 45.8907288889,5,thursday,23.15
 49.9380411111,5,thursday,23.30
 50.4780308889,5,thursday,23.45
 50.7145613333,12,thursday,0.0
 41.841002,12,thursday,0.15
 39.1068272142,12,thursday,0.30
 41.5695573333,12,thursday,0.45
 42.0048766963,12,thursday,1.0
 39.6871131111,12,thursday,1.15
 39.3184282222,12,thursday,1.30
 44.2706782222,12,thursday,1.45
 46.7079657778,12,thursday,2.0
 42.0376151111,12,thursday,2.15
 46.3440868889,12,thursday,2.30
 49.1075833333,12,thursday,2.45
 49.9006197778,12,thursday,3.0
 46.1694526667,12,thursday,3.15
 41.3105104444,12,thursday,3.30
 47.6536893333,12,thursday,3.45
 53.7664644444,12,thursday,4.0
 54.2960395556,12,thursday,4.15
 52.1396295556,12,thursday,4.30
 48.7658988889,12,thursday,4.45
 43.4790824444,12,thursday,5.0
 37.1823777778,12,thursday,5.15
 41.1339277778,12,thursday,5.30
 41.6780144444,12,thursday,5.45
 36.9524208889,12,thursday,6.0
 41.145062,12,thursday,6.15
 41.0546104444,12,thursday,6.30
 34.0860902222,12,thursday,6.45
 26.6974728889,12,thursday,7.0
 24.2743614889,12,thursday,7.15
 22.5722964444,12,thursday,7.30
 24.7507925111,12,thursday,7.45
 24.4455362222,12,thursday,8.0
 20.9337034222,12,thursday,8.15
 17.5109501529,12,thursday,8.30
 17.8282845333,12,thursday,8.45
 24.861182924,12,thursday,9.0
 22.7708704444,12,thursday,9.15
 18.3947308889,12,thursday,9.30
 22.5550068889,12,thursday,9.45
 31.8698571111,12,thursday,10.0
 35.3315271264,12,thursday,10.15
 35.3498963218,12,thursday,10.30
 38.6013011111,12,thursday,10.45
 41.9302566667,12,thursday,11.0
 37.8462835556,12,thursday,11.15
 32.3697911111,12,thursday,11.30
 31.3600753333,12,thursday,11.45
 31.3569973333,12,thursday,12.0
 30.5900848889,12,thursday,12.15
 30.9318422222,12,thursday,12.30
