traffic_speed,day,week_day,time
 35.6198675556,3,tuesday,0.0
 36.9563935556,3,tuesday,0.15
 42.737888,3,tuesday,0.30
 42.9067826667,3,tuesday,0.45
 47.1318331111,3,tuesday,1.0
 49.6347155556,3,tuesday,1.15
 55.6869551111,3,tuesday,1.30
 55.8284097778,3,tuesday,1.45
 49.5641928889,3,tuesday,2.0
 52.1305653333,3,tuesday,2.15
 49.0058064444,3,tuesday,2.30
 48.3470311111,3,tuesday,2.45
 54.8389513333,3,tuesday,3.0
 55.6744006667,3,tuesday,3.15
 53.7540835556,3,tuesday,3.30
 47.1406840077,3,tuesday,3.45
 41.7012728736,3,tuesday,4.0
 47.195149364,3,tuesday,4.15
 54.7616028889,3,tuesday,4.30
 55.1886495556,3,tuesday,4.45
 54.9844642222,3,tuesday,5.0
 49.6799971111,3,tuesday,5.15
 42.48739,3,tuesday,5.30
 46.2789664444,3,tuesday,5.45
 57.9704986667,3,tuesday,6.0
 55.6051773333,3,tuesday,6.15
 43.1806322222,3,tuesday,6.30
 38.8686431111,3,tuesday,6.45
 36.3786095556,3,tuesday,7.0
 38.8732028889,3,tuesday,7.15
 40.9291613333,3,tuesday,7.30
 38.8486382222,3,tuesday,7.45
 40.0753691111,3,tuesday,8.0
 39.6922644444,3,tuesday,8.15
 34.7823782222,3,tuesday,8.30
 34.3623731111,3,tuesday,8.45
 35.5220006667,3,tuesday,9.0
 35.7040197778,3,tuesday,9.15
 34.8688444444,3,tuesday,9.30
 37.4239551111,3,tuesday,9.45
 41.5276591111,3,tuesday,10.0
 43.1840084828,3,tuesday,10.15
 41.9648567816,3,tuesday,10.30
 35.8146970115,3,tuesday,10.45
 32.8231397778,3,tuesday,11.0
 40.1237931111,3,tuesday,11.15
 44.0267042222,3,tuesday,11.30
 40.2643664444,3,tuesday,11.45
 35.7061917778,3,tuesday,12.0
 32.4938046667,3,tuesday,12.15
 32.1897131111,3,tuesday,12.30
 33.1502937778,3,tuesday,12.45
 34.4772535556,3,tuesday,13.0
 37.3006294932,3,tuesday,13.15
 38.1708492857,3,tuesday,13.30
 36.8200840175,3,tuesday,13.45
 38.8298502222,3,tuesday,14.0
 35.0987417778,3,tuesday,14.15
 31.7063171111,3,tuesday,14.30
 34.2394568889,3,tuesday,14.45
 36.070884,3,tuesday,15.0
 41.20962,3,tuesday,15.15
 42.58087,3,tuesday,15.30
 36.6880464444,3,tuesday,15.45
 32.695504,3,tuesday,16.0
 30.5854644444,3,tuesday,16.15
 34.7088944444,3,tuesday,16.30
 36.8548751111,3,tuesday,16.45
 35.2726342222,3,tuesday,17.0
 34.4969133333,3,tuesday,17.15
 32.3677248889,3,tuesday,17.30
 31.4105153333,3,tuesday,17.45
 35.141288,3,tuesday,18.0
 40.5590384444,3,tuesday,18.15
 38.1591528889,3,tuesday,18.30
 32.9614928889,3,tuesday,18.45
 32.2920375556,3,tuesday,19.0
 37.1530606667,3,tuesday,19.15
 36.6648062222,3,tuesday,19.30
 35.3214922222,3,tuesday,19.45
 39.6997902222,3,tuesday,20.0
 40.2113904444,3,tuesday,20.15
 38.0179604444,3,tuesday,20.30
 37.3041008889,3,tuesday,20.45
 41.4748231111,3,tuesday,21.0
 46.1005662222,3,tuesday,21.15
 42.8672955556,3,tuesday,21.30
 38.3464355556,3,tuesday,21.45
 43.1983502222,3,tuesday,22.0
 46.5728886667,3,tuesday,22.15
 41.2808122222,3,tuesday,22.30
 43.71979,3,tuesday,22.45
 53.5462344444,3,tuesday,23.0
 48.3480337778,3,tuesday,23.15
 42.1810904444,3,tuesday,23.30
 41.8949777778,3,tuesday,23.45
 43.6972415556,10,tuesday,0.0
 42.9801884444,10,tuesday,0.15
 41.4969062222,10,tuesday,0.30
 35.7080633333,10,tuesday,0.45
 34.2011022222,10,tuesday,1.0
 40.1787488889,10,tuesday,1.15
 44.1854171111,10,tuesday,1.30
 42.95455,10,tuesday,1.45
 48.630182,10,tuesday,2.0
 51.3771813333,10,tuesday,2.15
 41.6086111111,10,tuesday,2.30
 36.2749757778,10,tuesday,2.45
 41.8598142222,10,tuesday,3.0
 48.5328295556,10,tuesday,3.15
 50.9067266667,10,tuesday,3.30
 46.5854908889,10,tuesday,3.45
 39.1205931111,10,tuesday,4.0
 37.5405711111,10,tuesday,4.15
 49.5053368889,10,tuesday,4.30
 60.481166,10,tuesday,4.45
 54.0438862222,10,tuesday,5.0
 47.4843182222,10,tuesday,5.15
 45.5624824444,10,tuesday,5.30
 37.3550322222,10,tuesday,5.45
 35.4386451111,10,tuesday,6.0
 37.4090164444,10,tuesday,6.15
 36.9900686667,10,tuesday,6.30
 42.8153982222,10,tuesday,6.45
 39.4522482222,10,tuesday,7.0
 25.6015898,10,tuesday,7.15
 16.4781100222,10,tuesday,7.30
 17.1556426444,10,tuesday,7.45
 26.7358735333,10,tuesday,8.0
 33.8066009195,10,tuesday,8.15
 28.3449011494,10,tuesday,8.30
 18.0629066222,10,tuesday,8.45
 12.2424351778,10,tuesday,9.0
 11.0731107111,10,tuesday,9.15
 13.6110246,10,tuesday,9.30
 17.4694575556,10,tuesday,9.45
 19.2419424444,10,tuesday,10.0
 18.6577022222,10,tuesday,10.15
 17.7903013333,10,tuesday,10.30
 16.0149231111,10,tuesday,10.45
 13.8991028889,10,tuesday,11.0
 13.273605,10,tuesday,11.15
 15.7828816667,10,tuesday,11.30
 23.2738286667,10,tuesday,11.45
