traffic_speed,day,week_day,time
 25.8298003556,0,saturday,18.0
 36.490258,1,sunday,18.0
 36.423176,2,monday,18.0
 35.141288,3,tuesday,18.0
 27.8443753333,4,wednesday,18.0
 30.2916015556,5,thursday,18.0
 27.7179117778,6,friday,18.0
 30.0739384444,7,saturday,18.0
 31.5765042222,8,sunday,18.0
 27.1506108889,9,monday,18.0
 30.2231222222,10,tuesday,18.0
 23.8130144444,11,wednesday,18.0
 26.8269848889,12,thursday,18.0
 25.6270435556,13,friday,18.0
 29.6622015373,14,saturday,18.0
 34.5438571111,15,sunday,18.0
 28.326293708,16,monday,18.0
 21.8084075556,17,tuesday,18.0
 28.8056873333,18,wednesday,18.0
 26.3546633333,19,thursday,18.0
 27.9539297778,20,friday,18.0
 32.21381,21,saturday,18.0
 33.9565946667,22,sunday,18.0
 28.0663397778,23,monday,18.0
 26.9667542222,24,tuesday,18.0
 29.2799007383,25,wednesday,18.0
 27.2661077778,26,thursday,18.0
 29.6496835556,27,friday,18.0
 36.4105722222,28,saturday,18.0
 36.3201998889,29,sunday,18.0
 34.0160695556,30,monday,18.0
 32.58098,31,tuesday,18.0
 24.4490295556,32,wednesday,18.0
 21.707676,33,thursday,18.0
 29.3068266667,34,friday,18.0
 32.8021246667,35,saturday,18.0
 39.0340315556,36,sunday,18.0
 30.4477128013,37,monday,18.0
 29.0608473333,38,tuesday,18.0
 27.8146289065,39,wednesday,18.0
 29.3458966208,40,thursday,18.0
 27.2395273549,41,friday,18.0
 20.8751535113,42,saturday,18.0
 26.0595325166,43,sunday,18.0
 26.4205715283,44,monday,18.0
 16.0654231356,45,tuesday,18.0
 28.5946621494,46,wednesday,18.0
 32.2420121475,47,thursday,18.0
 29.5731862452,48,friday,18.0
 29.9772913054,49,saturday,18.0
 30.6310973333,50,sunday,18.0
 29.7408800289,51,monday,18.0
 20.6947706173,52,tuesday,18.0
 19.5865877656,53,wednesday,18.0
 32.0812755567,54,thursday,18.0
 29.3722819942,55,friday,18.0
 16.0788158241,56,saturday,18.0
 38.1388665129,57,sunday,18.0
 33.4377609232,58,monday,18.0
 33.0921900067,59,tuesday,18.0
 38.6794997778,60,wednesday,18.0
