traffic_speed,day,week_day,time
 43.2057704444,6,friday,6.0
 44.0458468889,6,friday,6.15
 43.2249586667,6,friday,6.30
 37.6712662222,6,friday,6.45
 39.9893426667,13,friday,6.0
 38.2601444444,13,friday,6.15
 36.2884857778,13,friday,6.30
 35.2980377778,13,friday,6.45
 38.2602202222,20,friday,6.0
 33.3672024444,20,friday,6.15
 35.8658257778,20,friday,6.30
 36.2543928889,20,friday,6.45
 41.4303064444,27,friday,6.0
 44.4780253333,27,friday,6.15
 41.5730137778,27,friday,6.30
 30.4402963111,27,friday,6.45
 41.4208848889,34,friday,6.0
 36.4642864444,34,friday,6.15
 34.0862182222,34,friday,6.30
 33.8838555556,34,friday,6.45
 40.8562257778,41,friday,6.0
 36.7847051111,41,friday,6.15
 35.1779166667,41,friday,6.30
 37.3912226667,41,friday,6.45
 36.1191853333,48,friday,6.0
 42.0753566667,48,friday,6.15
 41.2841542222,48,friday,6.30
 37.8290795556,48,friday,6.45
 37.0556348889,55,friday,6.0
 40.6431891111,55,friday,6.15
 39.9782497778,55,friday,6.30
 34.6476946667,55,friday,6.45
