traffic_speed,day,week_day,time
 40.4785304444,2,monday,6.0
 39.8382762222,2,monday,6.15
 39.8353982222,2,monday,6.30
 44.2468466667,2,monday,6.45
 39.6287544444,9,monday,6.0
 34.1325791111,9,monday,6.15
 34.8239022222,9,monday,6.30
 34.6887877778,9,monday,6.45
 48.4439422222,16,monday,6.0
 41.9298188889,16,monday,6.15
 41.3190975556,16,monday,6.30
 45.6610853333,16,monday,6.45
 47.9787528889,23,monday,6.0
 47.407466,23,monday,6.15
 40.3949104444,23,monday,6.30
 35.253928,23,monday,6.45
 52.2209557778,30,monday,6.0
 50.3733382222,30,monday,6.15
 45.5590484444,30,monday,6.30
 36.0760102222,30,monday,6.45
 37.3988504444,37,monday,6.0
 37.9193424444,37,monday,6.15
 33.6092964444,37,monday,6.30
 31.1182613333,37,monday,6.45
 41.79051,44,monday,6.0
 38.4054453333,44,monday,6.15
 35.8638157778,44,monday,6.30
 33.4708633333,44,monday,6.45
 47.3157455556,51,monday,6.0
 42.3505484444,51,monday,6.15
 31.7481162222,51,monday,6.30
 30.2541722222,51,monday,6.45
 40.629578,58,monday,6.0
 43.927508,58,monday,6.15
 41.3870104444,58,monday,6.30
 46.2839788889,58,monday,6.45
