traffic_speed,day,week_day,time
 36.7651628889,1,sunday,6.0
 38.7399197778,1,sunday,6.15
 40.7724395556,1,sunday,6.30
 38.7276148889,1,sunday,6.45
 51.0328308889,8,sunday,6.0
 46.3683822222,8,sunday,6.15
 45.5864868889,8,sunday,6.30
 39.3358304444,8,sunday,6.45
 42.4247137778,15,sunday,6.0
 41.5241308889,15,sunday,6.15
 37.2316204444,15,sunday,6.30
 39.6110566667,15,sunday,6.45
 45.1384113333,22,sunday,6.0
 37.7066951111,22,sunday,6.15
 40.311452,22,sunday,6.30
 45.1972893333,22,sunday,6.45
 47.1239977778,29,sunday,6.0
 39.578154,29,sunday,6.15
 42.7323466667,29,sunday,6.30
 45.7055268889,29,sunday,6.45
 39.8308742222,36,sunday,6.0
 36.8325582222,36,sunday,6.15
 44.2863993333,36,sunday,6.30
 50.0709506667,36,sunday,6.45
 50.6132766667,43,sunday,6.0
 37.8566426667,43,sunday,6.15
 41.5804355556,43,sunday,6.30
 39.8109584444,43,sunday,6.45
 47.1090964444,50,sunday,6.0
 33.8267024444,50,sunday,6.15
 30.6635004444,50,sunday,6.30
 37.7582413333,50,sunday,6.45
 45.6628042222,57,sunday,6.0
 43.9871233333,57,sunday,6.15
 50.6105602222,57,sunday,6.30
 58.8938542222,57,sunday,6.45
