traffic_speed,day,week_day,time
 57.9704986667,3,tuesday,6.0
 55.6051773333,3,tuesday,6.15
 43.1806322222,3,tuesday,6.30
 38.8686431111,3,tuesday,6.45
 35.4386451111,10,tuesday,6.0
 37.4090164444,10,tuesday,6.15
 36.9900686667,10,tuesday,6.30
 42.8153982222,10,tuesday,6.45
 38.4150864444,17,tuesday,6.0
 42.7228677778,17,tuesday,6.15
 40.4756475556,17,tuesday,6.30
 31.831616,17,tuesday,6.45
 46.8063535556,24,tuesday,6.0
 37.6103115556,24,tuesday,6.15
 31.8197944444,24,tuesday,6.30
 31.7065037778,24,tuesday,6.45
 44.3308851111,31,tuesday,6.0
 43.3187048889,31,tuesday,6.15
 36.0399371111,31,tuesday,6.30
 28.4682115556,31,tuesday,6.45
 40.2139935556,38,tuesday,6.0
 44.6192695556,38,tuesday,6.15
 39.0953822222,38,tuesday,6.30
 37.6204977778,38,tuesday,6.45
 51.6841362222,45,tuesday,6.0
 43.2146828889,45,tuesday,6.15
 38.972992,45,tuesday,6.30
 35.9647384444,45,tuesday,6.45
 45.3265735556,52,tuesday,6.0
 36.5592626667,52,tuesday,6.15
 32.0991466667,52,tuesday,6.30
 32.3542368889,52,tuesday,6.45
 44.6328064444,59,tuesday,6.0
 38.7620142222,59,tuesday,6.15
 40.9399931111,59,tuesday,6.30
 38.8346164444,59,tuesday,6.45
