traffic_speed,day,week_day,time
 47.8027573333,54,thursday,0.0
 42.1937593333,54,thursday,0.15
 39.1120644444,54,thursday,0.30
 41.0602864444,54,thursday,0.45
 38.7480242222,54,thursday,1.0
 44.470162,54,thursday,1.15
 50.7904,54,thursday,1.30
 51.3353022222,54,thursday,1.45
 48.7772277778,54,thursday,2.0
 37.5663644444,54,thursday,2.15
 32.9207284444,54,thursday,2.30
 37.4714055556,54,thursday,2.45
 40.9506626667,54,thursday,3.0
 41.4357771111,54,thursday,3.15
 39.1188611111,54,thursday,3.30
 41.3354088889,54,thursday,3.45
 40.5321944444,54,thursday,4.0
 43.1911595556,54,thursday,4.15
 44.5319175556,54,thursday,4.30
 38.8806017778,54,thursday,4.45
 40.6960813333,54,thursday,5.0
 41.300648,54,thursday,5.15
 42.651214,54,thursday,5.30
 42.8086742222,54,thursday,5.45
 40.2450146667,54,thursday,6.0
 37.1150817778,54,thursday,6.15
 36.4104704444,54,thursday,6.30
 37.2096773333,54,thursday,6.45
 33.0234182222,54,thursday,7.0
 25.5628391188,54,thursday,7.15
 16.3939265287,54,thursday,7.30
 10.5622731566,54,thursday,7.45
 10.5251602049,54,thursday,8.0
 18.7027022157,54,thursday,8.15
 23.4996608397,54,thursday,8.30
 19.2632975604,54,thursday,8.45
 15.494514876,54,thursday,9.0
 20.8667370387,54,thursday,9.15
 31.7190301387,54,thursday,9.30
 35.5294694464,54,thursday,9.45
 32.0464426491,54,thursday,10.0
 32.9390874612,54,thursday,10.15
 37.4512857443,54,thursday,10.30
 37.9281069717,54,thursday,10.45
 37.4570929844,54,thursday,11.0
 39.2042603353,54,thursday,11.15
 34.6836226922,54,thursday,11.30
 28.1766305072,54,thursday,11.45
 27.3833338012,54,thursday,12.0
 29.4317358129,54,thursday,12.15
 32.27519845,54,thursday,12.30
 31.6967915889,54,thursday,12.45
 30.3526637136,54,thursday,13.0
 32.5568797717,54,thursday,13.15
 34.6400527033,54,thursday,13.30
 36.0473695071,54,thursday,13.45
 39.0910319482,54,thursday,14.0
 37.9845446394,54,thursday,14.15
 34.0264395785,54,thursday,14.30
 33.6806379269,54,thursday,14.45
 30.8175486949,54,thursday,15.0
 29.5102520627,54,thursday,15.15
 32.6122816305,54,thursday,15.30
 34.7211746465,54,thursday,15.45
 33.0437980553,54,thursday,16.0
 31.152066141,54,thursday,16.15
 30.2795572469,54,thursday,16.30
 28.4820222301,54,thursday,16.45
 26.4761464229,54,thursday,17.0
 26.9440329368,54,thursday,17.15
 30.4162189159,54,thursday,17.30
 31.330715472,54,thursday,17.45
 32.0812755567,54,thursday,18.0
 31.4372842484,54,thursday,18.15
 30.8805507398,54,thursday,18.30
 31.7752457777,54,thursday,18.45
 36.4018362564,54,thursday,19.0
 42.0080938429,54,thursday,19.15
 42.5732797778,54,thursday,19.30
 42.0843062222,54,thursday,19.45
 39.368266,54,thursday,20.0
 35.43149,54,thursday,20.15
 31.5420331111,54,thursday,20.30
 31.6580144444,54,thursday,20.45
 34.2530457778,54,thursday,21.0
 31.7985297778,54,thursday,21.15
 31.2803606667,54,thursday,21.30
 33.3825455556,54,thursday,21.45
 39.3118286667,54,thursday,22.0
 44.4507493333,54,thursday,22.15
 43.1303133333,54,thursday,22.30
 42.2423044444,54,thursday,22.45
 45.7417831111,54,thursday,23.0
 40.5003015556,54,thursday,23.15
 36.1895355556,54,thursday,23.30
 43.4135541916,54,thursday,23.45
 43.3710970115,55,friday,0.0
 35.5162411188,55,friday,0.15
 32.9962017778,55,friday,0.30
 37.9477015556,55,friday,0.45
 41.6247506667,55,friday,1.0
 39.6956411111,55,friday,1.15
 36.9547504444,55,friday,1.30
 40.7558711111,55,friday,1.45
 41.7044242222,55,friday,2.0
 33.8497466667,55,friday,2.15
 32.1818553333,55,friday,2.30
 38.8482355556,55,friday,2.45
 40.6979155556,55,friday,3.0
 36.7722191111,55,friday,3.15
 36.5576288889,55,friday,3.30
 39.3055568889,55,friday,3.45
 40.2959386667,55,friday,4.0
 40.1716037778,55,friday,4.15
 43.6559924444,55,friday,4.30
 53.9528566667,55,friday,4.45
 57.9435797778,55,friday,5.0
 47.7137786667,55,friday,5.15
 36.5114173333,55,friday,5.30
 34.3928611111,55,friday,5.45
 37.0556348889,55,friday,6.0
 40.6431891111,55,friday,6.15
 39.9782497778,55,friday,6.30
 34.6476946667,55,friday,6.45
 35.6814271111,55,friday,7.0
 41.0480486025,55,friday,7.15
 31.2092399435,55,friday,7.30
 23.07449971,55,friday,7.45
 29.7811282429,55,friday,8.0
 35.4372221475,55,friday,8.15
 25.8198954069,55,friday,8.30
 15.6148204561,55,friday,8.45
 12.8919158553,55,friday,9.0
 12.8929287895,55,friday,9.15
 19.3143663165,55,friday,9.30
 27.7752473609,55,friday,9.45
 31.0736773959,55,friday,10.0
 31.5429268728,55,friday,10.15
 25.735920631,55,friday,10.30
 20.2725821851,55,friday,10.45
 22.4617157427,55,friday,11.0
 27.1629102557,55,friday,11.15
 29.4210003132,55,friday,11.30
 28.9606970722,55,friday,11.45
 27.6440739784,55,friday,12.0
 28.2106656583,55,friday,12.15
 28.4520049898,55,friday,12.30
 33.1596011907,55,friday,12.45
 35.0431838161,55,friday,13.0
 33.1916342867,55,friday,13.15
 35.2279949431,55,friday,13.30
 36.8037270016,55,friday,13.45
 34.7474113693,55,friday,14.0
 37.5531910627,55,friday,14.15
 41.1904057862,55,friday,14.30
 38.7687166388,55,friday,14.45
 37.9018582603,55,friday,15.0
 37.2815110274,55,friday,15.15
 32.8891493351,55,friday,15.30
 28.7684882423,55,friday,15.45
 29.0122639538,55,friday,16.0
 31.3693715823,55,friday,16.15
 31.8724562632,55,friday,16.30
 31.0951464528,55,friday,16.45
 30.5156817191,55,friday,17.0
 31.3582319348,55,friday,17.15
 31.319861118,55,friday,17.30
 27.3872225366,55,friday,17.45
 29.3722819942,55,friday,18.0
 29.4861310735,55,friday,18.15
 28.3563687143,55,friday,18.30
 32.1166657903,55,friday,18.45
 35.2265262713,55,friday,19.0
 34.8743712534,55,friday,19.15
 34.9453821303,55,friday,19.30
 38.4556853333,55,friday,19.45
 38.3875497778,55,friday,20.0
 33.8161468889,55,friday,20.15
 32.6515244444,55,friday,20.30
 37.4207308889,55,friday,20.45
 37.2063084444,55,friday,21.0
 33.0965877778,55,friday,21.15
 35.3879355556,55,friday,21.30
 36.6688717778,55,friday,21.45
 38.531898,55,friday,22.0
 44.5347475556,55,friday,22.15
 45.8171002222,55,friday,22.30
 44.7466888889,55,friday,22.45
 42.2245255556,55,friday,23.0
 40.1120888889,55,friday,23.15
 39.4411131111,55,friday,23.30
 38.7732871111,55,friday,23.45
 41.0887802222,56,saturday,0.0
 43.2917035556,56,saturday,0.15
 42.5149895556,56,saturday,0.30
 37.0184246667,56,saturday,0.45
 32.5505206667,56,saturday,1.0
 34.843908,56,saturday,1.15
 36.1578428889,56,saturday,1.30
 32.145288,56,saturday,1.45
 31.8329742222,56,saturday,2.0
 35.9530517778,56,saturday,2.15
 41.0522886667,56,saturday,2.30
 43.9579377778,56,saturday,2.45
 42.8595631111,56,saturday,3.0
 40.404202,56,saturday,3.15
 41.8035688889,56,saturday,3.30
 42.7535517778,56,saturday,3.45
 36.4976028889,56,saturday,4.0
 35.4334084444,56,saturday,4.15
 39.9042397778,56,saturday,4.30
 38.9625702222,56,saturday,4.45
 40.5083877778,56,saturday,5.0
 45.6339033333,56,saturday,5.15
 48.051784,56,saturday,5.30
 54.6440193333,56,saturday,5.45
 55.8903604444,56,saturday,6.0
