traffic_speed,day,week_day,time
 24.51665,0,saturday,17.0
 25.9024228889,0,saturday,17.15
 30.2026734444,0,saturday,17.30
 31.1282272222,0,saturday,17.45
 25.8298003556,0,saturday,18.0
 17.9361855556,0,saturday,18.15
 13.407323,0,saturday,18.30
 12.167072,0,saturday,18.45
 33.4763253333,1,sunday,17.0
 35.4245026667,1,sunday,17.15
 41.9656726667,1,sunday,17.30
 39.0103882222,1,sunday,17.45
 36.490258,1,sunday,18.0
 37.2325466667,1,sunday,18.15
 35.3200875556,1,sunday,18.30
 32.5941,1,sunday,18.45
 37.9328831111,2,monday,17.0
 39.6408691111,2,monday,17.15
 41.7061475556,2,monday,17.30
 40.2632055556,2,monday,17.45
 36.423176,2,monday,18.0
 32.8431593333,2,monday,18.15
 32.4294735556,2,monday,18.30
 31.8503437778,2,monday,18.45
 35.2726342222,3,tuesday,17.0
 34.4969133333,3,tuesday,17.15
 32.3677248889,3,tuesday,17.30
 31.4105153333,3,tuesday,17.45
 35.141288,3,tuesday,18.0
 40.5590384444,3,tuesday,18.15
 38.1591528889,3,tuesday,18.30
 32.9614928889,3,tuesday,18.45
 31.4481608889,4,wednesday,17.0
 26.326906,4,wednesday,17.15
 25.23433,4,wednesday,17.30
 24.9878102222,4,wednesday,17.45
 27.8443753333,4,wednesday,18.0
 30.9408931111,4,wednesday,18.15
 29.4843013333,4,wednesday,18.30
 29.9565188889,4,wednesday,18.45
 26.4809955556,5,thursday,17.0
 25.1668506667,5,thursday,17.15
 28.2567837778,5,thursday,17.30
 27.7380682222,5,thursday,17.45
 30.2916015556,5,thursday,18.0
 32.7865444444,5,thursday,18.15
 30.7342926667,5,thursday,18.30
 30.6166722222,5,thursday,18.45
 29.4893128889,6,friday,17.0
 30.3406935556,6,friday,17.15
 26.694364,6,friday,17.30
 26.6008235556,6,friday,17.45
 27.7179117778,6,friday,18.0
 26.1674402222,6,friday,18.15
 25.8998633333,6,friday,18.30
 26.3537453333,6,friday,18.45
 30.6706297778,7,saturday,17.0
 29.7393748889,7,saturday,17.15
 25.8581637778,7,saturday,17.30
 24.3613642222,7,saturday,17.45
 30.0739384444,7,saturday,18.0
 37.4677504444,7,saturday,18.15
 39.787438,7,saturday,18.30
 32.9884957778,7,saturday,18.45
 30.4700758621,8,sunday,17.0
 31.9782966667,8,sunday,17.15
 31.9936643678,8,sunday,17.30
 32.905184,8,sunday,17.45
 31.5765042222,8,sunday,18.0
 33.2592553333,8,sunday,18.15
 33.4530922222,8,sunday,18.30
 31.5670748889,8,sunday,18.45
 31.4544055556,9,monday,17.0
 27.5435962222,9,monday,17.15
 28.6978677778,9,monday,17.30
 29.0260488889,9,monday,17.45
 27.1506108889,9,monday,18.0
 27.591898,9,monday,18.15
 26.583806,9,monday,18.30
 31.00762,9,monday,18.45
 27.8857965251,10,tuesday,17.0
 27.2743855556,10,tuesday,17.15
 27.4367166667,10,tuesday,17.30
 28.7397942222,10,tuesday,17.45
 30.2231222222,10,tuesday,18.0
 31.77038,10,tuesday,18.15
 32.6675346667,10,tuesday,18.30
 34.6658686667,10,tuesday,18.45
 35.0189924444,11,wednesday,17.0
 27.6724402222,11,wednesday,17.15
 20.8793626667,11,wednesday,17.30
 20.3334791111,11,wednesday,17.45
 23.8130144444,11,wednesday,18.0
 28.3456268889,11,wednesday,18.15
 30.4490057778,11,wednesday,18.30
 32.2896071111,11,wednesday,18.45
 29.008968,12,thursday,17.0
 28.9630162222,12,thursday,17.15
 26.2011877778,12,thursday,17.30
 23.7168328889,12,thursday,17.45
 26.8269848889,12,thursday,18.0
 29.053602,12,thursday,18.15
 33.1599984444,12,thursday,18.30
 33.5406140444,12,thursday,18.45
 26.6411472444,13,friday,17.0
 21.3745533333,13,friday,17.15
 20.9831880889,13,friday,17.30
 23.5898793333,13,friday,17.45
 25.6270435556,13,friday,18.0
 29.707066,13,friday,18.15
 33.084246,13,friday,18.30
 34.7767771111,13,friday,18.45
 28.8604701149,14,saturday,17.0
 32.1916691954,14,saturday,17.15
 31.4372227586,14,saturday,17.30
 30.0944680876,14,saturday,17.45
 29.6622015373,14,saturday,18.0
 26.9908838707,14,saturday,18.15
 27.9784706693,14,saturday,18.30
 27.9155851111,14,saturday,18.45
 33.5426948889,15,sunday,17.0
 29.1269657778,15,sunday,17.15
 31.0453364444,15,sunday,17.30
 33.0184942222,15,sunday,17.45
 34.5438571111,15,sunday,18.0
 34.3023595556,15,sunday,18.15
 31.592502,15,sunday,18.30
 28.8198697778,15,sunday,18.45
 28.6661774811,16,monday,17.0
 27.4250717778,16,monday,17.15
 27.1483046667,16,monday,17.30
 28.3457625984,16,monday,17.45
 28.326293708,16,monday,18.0
 28.7559112318,16,monday,18.15
 31.0589511492,16,monday,18.30
 29.047218,16,monday,18.45
 30.3249942222,17,tuesday,17.0
 28.3073535556,17,tuesday,17.15
 24.9298828889,17,tuesday,17.30
 23.1110786667,17,tuesday,17.45
 21.8084075556,17,tuesday,18.0
 24.2378291111,17,tuesday,18.15
 30.4082586667,17,tuesday,18.30
 33.6619911111,17,tuesday,18.45
 26.2434108889,18,wednesday,17.0
 24.6048273333,18,wednesday,17.15
 26.16948,18,wednesday,17.30
 28.7911042222,18,wednesday,17.45
 28.8056873333,18,wednesday,18.0
 29.146288,18,wednesday,18.15
 30.9064997778,18,wednesday,18.30
 31.2491186667,18,wednesday,18.45
 28.2692286667,19,thursday,17.0
 29.9193795556,19,thursday,17.15
 30.0516986667,19,thursday,17.30
 28.0286493333,19,thursday,17.45
 26.3546633333,19,thursday,18.0
 26.549734,19,thursday,18.15
 28.7035015556,19,thursday,18.30
 32.6533995556,19,thursday,18.45
 34.5131604609,20,friday,17.0
 29.9883686667,20,friday,17.15
 28.8778599772,20,friday,17.30
 30.5233068889,20,friday,17.45
 27.9539297778,20,friday,18.0
 24.1595468889,20,friday,18.15
 28.105434,20,friday,18.30
 33.2467268889,20,friday,18.45
 33.2263546667,21,saturday,17.0
 30.6014246667,21,saturday,17.15
 38.1826073333,21,saturday,17.30
 41.0390593333,21,saturday,17.45
 32.21381,21,saturday,18.0
 28.4946464444,21,saturday,18.15
 31.3256453333,21,saturday,18.30
 36.4244804444,21,saturday,18.45
 32.2627184444,22,sunday,17.0
 31.287788,22,sunday,17.15
 33.5045535556,22,sunday,17.30
 34.0365882222,22,sunday,17.45
 33.9565946667,22,sunday,18.0
 33.6306433333,22,sunday,18.15
 34.7755813333,22,sunday,18.30
 37.9829557778,22,sunday,18.45
 29.4749482222,23,monday,17.0
 28.161934,23,monday,17.15
 28.6631984444,23,monday,17.30
 28.4577404444,23,monday,17.45
 28.0663397778,23,monday,18.0
 29.8457866667,23,monday,18.15
 31.6294408889,23,monday,18.30
 35.7478128889,23,monday,18.45
 29.6656333333,24,tuesday,17.0
 27.2912466667,24,tuesday,17.15
 27.2019004444,24,tuesday,17.30
 27.8846426667,24,tuesday,17.45
 26.9667542222,24,tuesday,18.0
 26.5051928889,24,tuesday,18.15
 28.6450188889,24,tuesday,18.30
 36.5297868889,24,tuesday,18.45
 25.8011651111,25,wednesday,17.0
 24.1301442222,25,wednesday,17.15
 23.4876795556,25,wednesday,17.30
 26.6374165014,25,wednesday,17.45
 29.2799007383,25,wednesday,18.0
 26.0559688783,25,wednesday,18.15
 28.3528176649,25,wednesday,18.30
 31.4977917778,25,wednesday,18.45
 28.8438028889,26,thursday,17.0
 28.1693842222,26,thursday,17.15
 30.5129277778,26,thursday,17.30
 29.1660915556,26,thursday,17.45
 27.2661077778,26,thursday,18.0
 26.6162982222,26,thursday,18.15
 29.6393504444,26,thursday,18.30
 34.9908642222,26,thursday,18.45
 38.0727484444,27,friday,17.0
 35.0547211111,27,friday,17.15
 30.2534824444,27,friday,17.30
 27.6606528889,27,friday,17.45
 29.6496835556,27,friday,18.0
 34.3278693333,27,friday,18.15
 34.1795526667,27,friday,18.30
 33.8664291111,27,friday,18.45
 40.0936248095,28,saturday,17.0
 39.3796932954,28,saturday,17.15
 38.8453543953,28,saturday,17.30
 37.9500546667,28,saturday,17.45
 36.4105722222,28,saturday,18.0
