road_segment_id,traffic_speed,day,week_day,time,hour,min
1802838360064, 29.4893128889,6,friday,17.0,17,0
1802838360064, 30.3406935556,6,friday,17.15,17,15
1802838360064, 26.694364,6,friday,17.30,17,30
1802838360064, 26.6008235556,6,friday,17.45,17,45
1802838360064, 27.7179117778,6,friday,18.0,18,0
1802838360064, 26.1674402222,6,friday,18.15,18,15
1802838360064, 25.8998633333,6,friday,18.30,18,30
1802838360064, 26.3537453333,6,friday,18.45,18,45
1802838360064, 26.6411472444,13,friday,17.0,17,0
1802838360064, 21.3745533333,13,friday,17.15,17,15
1802838360064, 20.9831880889,13,friday,17.30,17,30
1802838360064, 23.5898793333,13,friday,17.45,17,45
1802838360064, 25.6270435556,13,friday,18.0,18,0
1802838360064, 29.707066,13,friday,18.15,18,15
1802838360064, 33.084246,13,friday,18.30,18,30
1802838360064, 34.7767771111,13,friday,18.45,18,45
1802838360064, 34.5131604609,20,friday,17.0,17,0
1802838360064, 29.9883686667,20,friday,17.15,17,15
1802838360064, 28.8778599772,20,friday,17.30,17,30
1802838360064, 30.5233068889,20,friday,17.45,17,45
1802838360064, 27.9539297778,20,friday,18.0,18,0
1802838360064, 24.1595468889,20,friday,18.15,18,15
1802838360064, 28.105434,20,friday,18.30,18,30
1802838360064, 33.2467268889,20,friday,18.45,18,45
1802838360064, 38.0727484444,27,friday,17.0,17,0
1802838360064, 35.0547211111,27,friday,17.15,17,15
1802838360064, 30.2534824444,27,friday,17.30,17,30
1802838360064, 27.6606528889,27,friday,17.45,17,45
1802838360064, 29.6496835556,27,friday,18.0,18,0
1802838360064, 34.3278693333,27,friday,18.15,18,15
1802838360064, 34.1795526667,27,friday,18.30,18,30
1802838360064, 33.8664291111,27,friday,18.45,18,45
1802838360064, 29.6640622222,34,friday,17.0,17,0
1802838360064, 29.443592,34,friday,17.15,17,15
1802838360064, 28.5238031111,34,friday,17.30,17,30
1802838360064, 28.8610342222,34,friday,17.45,17,45
1802838360064, 29.3068266667,34,friday,18.0,18,0
1802838360064, 25.0324251111,34,friday,18.15,18,15
1802838360064, 26.2748551111,34,friday,18.30,18,30
1802838360064, 34.085056,34,friday,18.45,18,45
1802838360064, 31.9351470997,41,friday,17.0,17,0
1802838360064, 28.3956071014,41,friday,17.15,17,15
1802838360064, 28.4038340523,41,friday,17.30,17,30
1802838360064, 27.2313806556,41,friday,17.45,17,45
1802838360064, 27.2395273549,41,friday,18.0,18,0
1802838360064, 28.6571260568,41,friday,18.15,18,15
1802838360064, 27.5303808527,41,friday,18.30,18,30
1802838360064, 26.9852569454,41,friday,18.45,18,45
1802838360064, 28.9786093954,48,friday,17.0,17,0
1802838360064, 25.7980073045,48,friday,17.15,17,15
1802838360064, 27.5736735477,48,friday,17.30,17,30
1802838360064, 30.6144050575,48,friday,17.45,17,45
1802838360064, 29.5731862452,48,friday,18.0,18,0
1802838360064, 28.3610964444,48,friday,18.15,18,15
1802838360064, 29.3165037778,48,friday,18.30,18,30
1802838360064, 29.2037524138,48,friday,18.45,18,45
1802838360064, 30.5156817191,55,friday,17.0,17,0
1802838360064, 31.3582319348,55,friday,17.15,17,15
1802838360064, 31.319861118,55,friday,17.30,17,30
1802838360064, 27.3872225366,55,friday,17.45,17,45
1802838360064, 29.3722819942,55,friday,18.0,18,0
1802838360064, 29.4861310735,55,friday,18.15,18,15
1802838360064, 28.3563687143,55,friday,18.30,18,30
1802838360064, 32.1166657903,55,friday,18.45,18,45
